브랜드,유형,번역 스타일 특징,대표 채택어,회피·주의 표현
TIRTIR,JP진출 K뷰티,"水光肌·ツヤ 한자형 강조, クッション 중심","水光肌, ツヤツヤ, みずみずしい, クッションガラス",효능 단정 회피
rom&nd,JP진출 K뷰티,"외래어(ティント·グロウ) 중심, 발색·色持ち 소구","ティント, グロウ, 발색, 普段使い",-
CLIO,JP진출 K뷰티,"カバー力·グロウ 동시 강조, 메이크 지속력","グロウクッション, カバー力, 崩れない",-
fwee,JP진출 K뷰티,"감성 외래어, ツヤ·グロウ 발랄 톤","グロウ, ウォーターティント, ツヤ肌",-
Torriden(トリデン),스킨케어,"成分·うるおい 소구, 3秒セラム식 카피","うるおい, 高保湿, インナードライ",-
MEDIHEAL(メディヒール),마스크/패드,"トナーパッド·PDRN 성분 전면, 毛穴レス","トナーパッド, PDRN, 毛穴レス, 密着",-
Anua(アヌア),스킨케어,"성분 네이밍(ドクダミ) 직관화, 鎮静·毛穴","ドクダミ, 毛穴, 鎮静, CICA",-
numbuzin(ナンバーズイン),스킨케어,"넘버 컨셉, トーンアップ·透明感","トーンアップ, 透明感, 美容液",美白 정형구 준수
COSRX,스킨케어,"성분 기능형, 角質·毛穴·ニキビ","角質, 毛穴の黒ずみ, スネイル",ニキビ 효능 단정 회피
Round Lab,스킨케어,低刺激·弱酸性 안전 소구,"低刺激, 弱酸性, バリア",-
iHEAL ★자사,펨케어/이너,"フェムケア·デリケートゾーン 표준화, 弱酸性·低刺激","フェムケア, デリケートゾーンケア, 弱酸性, 乳酸菌",膣ケア·治療·殺菌 등 직접·의료 표현 전면 금지
Mileat ★자사,프로틴/다이어트,"植物性タンパク質·健康習慣 리포지셔닝, 置き換え","植物性タンパク質, デイリープロテイン, 置き換え, 健康習慣",痩せる·無添加 막연 표기 금지
GlowU ★자사,헤어 디바이스,速乾·マイナスイオン·ツヤ髪 기능 소구,"ヘアドライヤー, ツヤ髪, マイナスイオン, 巻き髪",-
