ID,카테고리,한국 트렌드 워드,직역(기준선),일본 매칭어 ★추천,읽기,표기유형,매칭유형,"우선
순위","IG 해시태그
(추정·건)","검색
노출도","거부감/
위화감","薬機法
리스크",薬機法 비고,브랜드 채택 예시,연관추천 키워드,뉘앙스/사용맥락
1,스킨케어/광택,물광피부,水分光肌,水光肌,すいこうはだ,한자,A,1,1200000,高,낮음,SAFE,"효능 단정 없음, 비유 표현 OK","TIRTIR, トリデン, MEDIHEAL","ツヤ肌, みずみずしい, 透明感",해시태그·카피 직접 사용. 가장 정착된 표현
2,스킨케어/광택,물광피부,-,ツヤ肌,つやはだ,한자,C,2,2500000,高,낮음,SAFE,-,"fwee, CLIO, rom&nd","水光肌, うるおい","범용성 최고, 검색량 가장 큼"
3,스킨케어/광택,물광피부,-,みずみずしい肌,-,혼합,C,3,450000,中,낮음,SAFE,-,-,"保湿, うるおい","본문 카피용, 자연스러움 높음"
4,스킨케어/광택,물광피부,蜂蜜光肌,-,-,-,X,9,0,低,높음,-,직역 시 위화감 큼 → 사용 금지 후보,-,-,✗ 직역 비교용 (사용 지양)
5,스킨케어/광택,글로우,-,グロウ,-,카타카나,B,1,800000,高,낮음,SAFE,제품명 직접 사용,"rom&nd, fwee, CLIO","ツヤ, 発光",외래어 정착. 제품명 핵심어
6,스킨케어/광택,글로우,-,発光肌,はっこうはだ,한자,A,2,180000,中,중간,SAFE,-,numbuzin,"ツヤ肌, 内側から",'속에서 빛나는' 뉘앙스 강조
7,스킨케어/광택,꿀광,蜂蜜ツヤ,ツヤ肌,つやはだ,한자,C,1,2500000,高,낮음,SAFE,'꿀'은 직역 안 함,fwee,"つや玉, うるツヤ","꿀=직역금지, ツヤ로 치환"
8,스킨케어/광택,꿀광,-,つや玉,つやだま,한자,D,2,95000,中,낮음,SAFE,資生堂 유래 정착어,-,"ツヤ肌, ハイライト",볼 중심 광채 뉘앙스
9,스킨케어/광택,윤광,潤光,ツヤ,つや,한자,C,1,2500000,高,낮음,SAFE,-,-,"艶, うるおい",-
10,스킨케어/광택,광채,光彩,輝き,かがやき,한자,C,1,320000,中,낮음,SAFE,-,HERA,"透明感, ツヤ",-
11,스킨케어/광택,도자기피부,陶磁器肌,陶器肌,とうきはだ,한자,A,1,900000,高,낮음,SAFE,비유 표현 OK,"numbuzin, Abib","なめらか, 毛穴レス",해시태그 정착
12,스킨케어/광택,유리알피부,ガラス玉肌,ガラス肌,がらすはだ,혼합,A,1,600000,高,낮음,SAFE,-,"TIRTIR, VT","透明感, ツヤ肌",'유리알처럼 맑고 투명' 뉘앙스
13,스킨케어/광택,우유빛피부,牛乳色肌,透明感のある肌,-,혼합,C,1,280000,中,낮음,SAFE,-,-,"トーンアップ, ミルク肌",-
14,스킨케어/광택,속광,内側光,内側から発光,-,혼합,C,1,75000,低,중간,SAFE,-,numbuzin,"ツヤ, 内側からケア",-
15,스킨케어/광택,매끄러운피부,-,なめらか肌,-,혼합,C,1,520000,高,낮음,SAFE,-,Anua,"つるん, キメ",-
16,스킨케어/광택,계란피부,卵肌,むきたまご肌,-,혼합,D,1,210000,中,낮음,SAFE,일본 고유 비유,-,"つるん, なめらか",'삶은 계란'은 ゆでたまご肌
17,스킨케어/광택,계란피부,-,ゆでたまご肌,-,혼합,D,2,60000,低,중간,SAFE,-,-,なめらか,비교 후보
18,스킨케어/광택,맑은피부,-,透明肌,とうめいはだ,한자,C,1,680000,高,낮음,SAFE,-,Abib,"クリア肌, くすみケア",-
19,스킨케어/광택,화사함,華やか,明るい印象,-,혼합,C,1,140000,中,낮음,SAFE,'밝아 보이는'으로 우회,-,"トーンアップ, 血色感",美白 단정 회피 표현
20,스킨케어/광택,생기,生気,血色感,けっしょくかん,한자,C,1,230000,中,낮음,SAFE,-,-,"イキイキ, ツヤ",-
21,스킨케어/촉감,보송함,-,さらさら,-,히라가나,C,1,310000,高,낮음,SAFE,-,-,"サラッと, 皮脂",-
22,스킨케어/촉감,촉촉함,-,うるおい,-,히라가나,C,1,1500000,高,낮음,SAFE,-,Torriden,"しっとり, 高保湿",-
23,스킨케어/촉감,쫀쫀함,-,もちもち,-,히라가나,C,1,420000,中,낮음,SAFE,-,-,"ハリ, ぷるぷる",-
24,스킨케어/촉감,탱탱함,-,ぷるぷる,-,히라가나,C,1,380000,中,낮음,SAFE,-,-,"ハリ, 弾力",-
25,스킨케어/촉감,탄력,弾力,ハリ・弾力,-,혼합,C,1,560000,高,낮음,SAFE,-,BIOHEAL BOH,"エイジングケア, もちもち",-
26,스킨케어/고민,모공,毛穴,毛穴,けあな,한자,A,1,3200000,高,낮음,SAFE,-,"COSRX, Anua","毛穴ケア, 毛穴レス",핵심 검색어
27,스킨케어/고민,모공레스,毛穴レス,毛穴レス,けあなレス,혼합,C,1,1800000,高,낮음,SAFE,"비유 OK, '없어진다' 단정은 NG","VT, numbuzin","毛穴目立たない, 陶器肌",#毛穴レス 고빈도
